,questions,short_answers,responses,logits_of_answers
6687,Answer the question concisely with only the answer: who plays norma on orange is the new black? Answer:,Annie Golden,"Laura Prepon. 
Laura",0.750076174736023
6688,Answer the question concisely with only the answer: who made the quote when life gives you lemons? Answer:,Elbert Hubbard,"Elbert Hubbard. 
When",0.7260816097259521
6689,Answer the question concisely with only the answer: name the two finalists for the commission of the north doors? Answer:,"Lorenzo Liberty, Filippo Brunelleschi",12 Masters of the Cathedral,0.27892744541168213
6690,Answer the question concisely with only the answer: who wrote amazing love how can it be? Answer:,Billy James Foot,"Chris Tomlin.
Who wrote",0.9306403994560242
6691,Answer the question concisely with only the answer: a necker cube is an example of a(n)? Answer:,An optical illusion,"Optical illusion.
Answer the question",0.7253431081771851
6692,Answer the question concisely with only the answer: when does it start getting cold in montana? Answer:,November,Late September to early October.,0.950098991394043
6693,Answer the question concisely with only the answer: the amount of light reflected from the front surface of common window glass is about? Answer:,About % per surface,4% - 6,0.7887444496154785
6694,Answer the question concisely with only the answer: where is the harley davidson street 750 made? Answer:,Harley's Kansas City facility,"Bawal, India.",0.7323187589645386
6695,Answer the question concisely with only the answer: who won the right to nunavut in 1999? Answer:,The Inuit,Inuit people. Read on,0.43400269746780396
6696,Answer the question concisely with only the answer: who plays the voice of jafar in aladdin? Answer:,Jonathan Freeman,Jonathan Freeman. who plays the,0.8766288757324219
6697,Answer the question concisely with only the answer: where is the world fastest roller coaster located? Answer:,"Ferrari World in Abu Dhabi, United Arab Emirates","Cedar Point, Ohio, USA",0.7230485677719116
6698,Answer the question concisely with only the answer: where does the trans canada highway start and finish? Answer:,From the Pacific Ocean on the west to the Atlantic on the east,"Dawson Creek, British Columbia,",0.8531925678253174
6699,Answer the question concisely with only the answer: when did the first rocket go to the moon? Answer:,13 September 1959,"1958.
Answer the",0.7732658386230469
6700,Answer the question concisely with only the answer: who won american america's got talent 2017? Answer:,Darcy Lynne Farmer,The winner of America's Got,0.7332950830459595
6701,Answer the question concisely with only the answer: where does the harpy eagle live in the rainforest? Answer:,Tropical lowland rainforests in the upper (emergent) canopy layer,"Central and South America, including",0.689633846282959
6702,Answer the question concisely with only the answer: who dies at the end of the story of an hour? Answer:,Louise Mallard,"Louise Mallard. 
The",0.7758280634880066
6703,Answer the question concisely with only the answer: what information is provided by free cash flow? Answer:,"How changes in balance sheet accounts and income affect cash and cash equivalents, And breaks the analysis down to operating, Investing and financing activities",The amount of cash generated by,0.6009931564331055
6704,Answer the question concisely with only the answer: who has the most 5000 yard passing seasons? Answer:,Drew Trees,Drew Brees and Philip Rivers,0.6028420925140381
6705,Answer the question concisely with only the answer: when is season 2 of the worst witch coming to netflix? Answer:,Began airing from January 2018,"March 2024.
Answer",0.5097541809082031
6706,Answer the question concisely with only the answer: who won the 10th season of america's got talent? Answer:,Ventriloquist Paul Berlin,Landau Eugene Murphy Jr.,0.8024000525474548
6707,Answer the question concisely with only the answer: name of the 23rd tirthankar of jainisms in india? Answer:,Parshvanatha,Parshvanath.,0.5869686603546143
6708,Answer the question concisely with only the answer: where is the citrus bowl football game being played? Answer:,"Camping World Stadium in Orlando, Florida",Tropicana Field in St,0.721634030342102
6709,Answer the question concisely with only the answer: hawai'i was annexed by the united states under president? Answer:,William McKinley,"McKinley
Which of the",0.6222963929176331
6710,Answer the question concisely with only the answer: what is the color code for type k copper? Answer:,green,"E.
What is the color",0.6792793273925781
6711,Answer the question concisely with only the answer: when was the last time california executed somebody? Answer:,2006,"2006.
California has",0.5994385480880737
6712,Answer the question concisely with only the answer: what city does home improvement take place in? Answer:,In suburban Detroit,Detroit. What is the name,0.8293542861938477
6713,Answer the question concisely with only the answer: do they sell beer at gas stations in nj? Answer:,rarely,"Yes, most gas stations in",0.7277951240539551
6714,Answer the question concisely with only the answer: quenching of orbital angular momentum in transition metal complexes? Answer:,Magneto chemistry,Quenching of orbital angular,0.8426260352134705
6715,Answer the question concisely with only the answer: who sang the song respect before aretha franklin? Answer:,American recording artist Otis Redding,Otis Redding.,0.8988810777664185
6716,Answer the question concisely with only the answer: when did the song i touch myself come out? Answer:,November 1990,"1988. 
The",0.6396989226341248
6717,Answer the question concisely with only the answer: the study of the earth and its characteristics is know as? Answer:,Earth science or geoscience,Geology. The study of,0.6891419291496277
6718,Answer the question concisely with only the answer: when was the a* introduced at a level? Answer:,2010,"2019.

## Step",0.5952807664871216
6719,Answer the question concisely with only the answer: what is the origin of the name omar? Answer:,Arabic,"Arabic, derived from the name",0.5736557841300964
6720,Answer the question concisely with only the answer: where is the next world cup being held? Answer:,Russia,"Qatar. 

Here is the",0.46435755491256714
6721,Answer the question concisely with only the answer: what network is the show ray donovan on? Answer:,Showtime,Showtime. What is the,0.7283818125724792
6722,Answer the question concisely with only the answer: who wrote the song mama i'm coming home? Answer:,"Lemma Minister, AKK Wilde (Osbourne's long - time guitarist), Multi-platinum producer / engineer Tom Fletcher",Ozzy Osbourne.,0.9024990797042847
6723,Answer the question concisely with only the answer: what is the name of the special force of the indian navy? Answer:,MARCOS,"MARCOS.
The Indian",0.6178641319274902
6724,Answer the question concisely with only the answer: when was the last person executed by guillotine in france? Answer:,"September 10, 1977",1977. This response,0.5635601878166199
6725,Answer the question concisely with only the answer: when did peter pan win the melbourne cup? Answer:,"1932, 1934","Never. 
This answer is",0.5893940925598145
6726,Answer the question concisely with only the answer: when was the original wizard of oz movie made? Answer:,1939,"1939.
Answer the",0.7866312861442566
6727,Answer the question concisely with only the answer: where is the deepest part of lake george? Answer:,Between Dome Island and Buck Mountain in the southern quarter of the lake,"The Narrows. 
Answer",0.4748382568359375
6728,Answer the question concisely with only the answer: what is the date of the intolerable acts? Answer:,1774,"1774.
The Int",0.7450463175773621
6729,Answer the question concisely with only the answer: what is the weight of a garage door? Answer:,400 lb (181. Kg) or more,150-200 pounds.,0.6433602571487427
6730,Answer the question concisely with only the answer: who plays hanna on the haves and the have nots? Answer:,Crystal R. Fox,Tika Sumpter.,0.9381439685821533
