Unnamed: 0,questions,short_answers,responses,matches
2391,Answer the question concisely with only the answer: pj harvey down by the water lyrics meaning? Answer:,The story of a woman committing femicide,The song's lyrics explore themes,1
2392,Answer the question concisely with only the answer: who played uncle fester in the addams family movie? Answer:,Christopher Lloyd,Raul Julia and then later,0
2393,Answer the question concisely with only the answer: who won the world cup the most time? Answer:,Brazil,Brazil. who won the world,1
2394,Answer the question concisely with only the answer: when is an officer justified in using deadly force? Answer:,When the officer reasonably believes the subject poses a significant threat of serious bodily injury or death to themselves or others,When there is an imminent threat,1
2395,Answer the question concisely with only the answer: why do they call it the daniel fast? Answer:,Based on the Biblical Book of Daniel,Because it was first popularized,0
2396,Answer the question concisely with only the answer: what do nuclear reactions on the sun produce? Answer:,helium,"Energy. 
Answer the question",0
2397,Answer the question concisely with only the answer: the first chancellor and founding father of the west german federal republic was? Answer:,Konrad Adenauer,Konrad Adenauer.,1
2398,Answer the question concisely with only the answer: who played dr chase's father on house? Answer:,Patrick Bauhaus,"James Cromwell. 
Who",0
2399,Answer the question concisely with only the answer: what was the purpose of the operation rolling thunder? Answer:,"To boost the sagging morale of the Saigon regime in the Republic of Vietnam, To persuade North Vietnam to cease its support for the communist insurgency in South Vietnam without actually taking any ground forces into communist North Vietnam, To destroy North Vietnam's transportation system, Industrial base, And air defenses, To halt the flow of men and material into South Vietnam",To destroy North Vietnamese supply lines,1
2400,Answer the question concisely with only the answer: who led the work of the freedmen's bureau? Answer:,Oliver Otis Howard,"Oliver O. Howard.
Who",1
2401,Answer the question concisely with only the answer: who is the host of big beach builds? Answer:,Marnie Ouster,"Jonathan Scott. 
The post",0
2402,Answer the question concisely with only the answer: who plays the boyfriend in the bee movie? Answer:,Patrick Barberton,Jerry Seinfeld. who plays,0
2403,Answer the question concisely with only the answer: who did jason bateman play in the little house on the prairie? Answer:,James Cooper,He did not appear in The,0
2404,Answer the question concisely with only the answer: where does the land before time take place? Answer:,The Great Valley,The Great Valley. Question,1
2405,Answer the question concisely with only the answer: where was the winter olympics held in italy? Answer:,"Turin, Piedmont",Torino. (Note:,0
2406,Answer the question concisely with only the answer: who plays the school nurse in hannah montana forever? Answer:,Christine Taylor,"Frances Callier. 
Answer",0
2407,Answer the question concisely with only the answer: the sixteenth century has come to be regarded as the golden age for what vocal style? Answer:,polyphonic,Polyphony. Answer the question,1
2408,Answer the question concisely with only the answer: who did sweet pea belong to on popeye? Answer:,Popeye,"Olive Oyl. 
The",0
2409,Answer the question concisely with only the answer: first female to drive a car in nigeria? Answer:,"Chief Funnily Ransom - KYTI, MON (/ ˌfʊnmiˈlaɪjoʊ ˈrænsəm multi / ; 25 October 1900 -- 13 April 1978), Otherwise known as Funnily Anikulapo - KYTI",Funmilayo Ransome,1
2410,Answer the question concisely with only the answer: when was the original little shop of horrors made? Answer:,1960,1986. I will,0
2411,Answer the question concisely with only the answer: share of hydroelectric power in total electricity produced in india? Answer:,13. %,15-20%. Answer,1
2412,Answer the question concisely with only the answer: who lost his head in the french revolution? Answer:,Louis XVI,Louis XVI. who was the,1
2413,Answer the question concisely with only the answer: when did drinking age change to 21 in ny? Answer:,"December, 1985","2000. 
When",0
2414,Answer the question concisely with only the answer: which tests are noninvasive and performed to detect chromosomal abnormalities in the fetus? Answer:,"ultrasonography, Maternal serum screens, Non-invasive prenatal testing (NIP)","Amniocentesis,",0
2415,Answer the question concisely with only the answer: when is season 2 of haters back off coming out? Answer:,"On October 20, 2017","Unfortunately, there is no official",0
2416,Answer the question concisely with only the answer: when did stained glass windows start in churches? Answer:,675 AD,"7th century.
St",0
2417,Answer the question concisely with only the answer: what is the moral of the story the city mouse and the country mouse? Answer:,`` I'd rather gnaw a bean than be gnawed by continual fear '',The moral of the story is,1
2418,Answer the question concisely with only the answer: in which year did the british parliament prohibit the buying and selling of slaves? Answer:,1807,1807. 180,1
2419,Answer the question concisely with only the answer: what was the name of punky brewsters dog? Answer:,Brandon,"Brandon.
Punky Brewster",1
2420,Answer the question concisely with only the answer: when did the first episode of jersey shore air? Answer:,"December, 2009","December 12, 200",1
2421,Answer the question concisely with only the answer: methods of post marketing surveillance in clinical research? Answer:,"Spontaneous reporting databases, Prescription event monitoring, Electronic health records, Patient registries, Record linkage between health databases",1) Spontaneous,1
2422,Answer the question concisely with only the answer: what part of the body is bone marrow taken from? Answer:,"pelvis, sternum, cranium, ribs, Vertebrae and scapulae",Pelvis. What is the,1
2423,Answer the question concisely with only the answer: who played the robot in the day the earth stood still 1951? Answer:,Got,"Lock Martin.
Answer the question",0
2424,Answer the question concisely with only the answer: what is an honor graduate in the air force? Answer:,Demonstrate excellence in all areas of academic and military training,An honor graduate is a member,0
2425,Answer the question concisely with only the answer: who sings i get by with a little help? Answer:,Ringo Starr,"The Beatles.
Answer the question",0
2426,Answer the question concisely with only the answer: mere sapno ki rani kab aayegi tu shooting location? Answer:,The toy train in Darjeeling (Darjeeling Himalayan Railway),"Mumbai. 
The question asks",1
2427,Answer the question concisely with only the answer: stranger things season 2 episode 1 release time? Answer:,"October 27, 2017",12:01 AM PT,0
2428,Answer the question concisely with only the answer: when did our first form of government began to govern the united states? Answer:,September 1774,"September 17, 178",1
