short_answers,responses,matches
American pop - rock duo of Eager and Evans,The song in the year,0
In the intestines and blood,The gallbladder and the,0
It takes an entire community of different people interacting with children in order for children to experience and grow in a safe environment,It means that raising a child,0
Jill Vogel (Republican) and Justin Fairfax (Democrat),The current lieutenant governor of,0
"In the Bristol Bay region of Southwest Alaska, Near Lake Liliana and Lake Clark",The proposed Pebble Mine is,0
The personal unconscious,The unconscious. The unconscious is,0
The guardians of animal life,"The Nazgûl,",0
54. ° C (129. ° F),52°C (126°F,0
1996,"1996. 
The",1
The Edge and producers Brian Eno and Daniel Lanais,U2 - Where The Streets,0
Telly Savages,Max von Sydow.,0
Toby,"Peter Kessler. 
Answer",0
Megan Mulally,Wendy Molyneux.,0
"routines, Often called `` validation rules '' `` validation constraints '' or `` check routines ''",You validate data in a database,0
Late evening of 26 October 2017,26-Oct-22,0
"Michigan, Minnesota, Utah",Iron ore is mined in the,0
Multi-user software,"Enterprise software.
Enterprise software is",0
Three years,"2 years. 
Answer",0
1911,"1932. 
In",0
English band the Tornados,The Tornados....,0
African American music,Rockabilly. This musical,0
San Francisco's Golden Gate Park,"1885.
Answer the",0
Since 1973,1970. Back to,0
2004,"2022.

## Step",0
Transition state analogs (transition state analogues),"transition state analogue.
What is",0
Alphonse Karl,Jean-Baptiste Alphon,0
2013 -- 14,"2014
The Aberdeen",0
Randy Newman,"Randy Newman.
Who sang the",1
"Shams - up - din Loutish (شمس الدین التتمش ‬), Who had the titular name of Nair Amir - UL - Mu'mining",Muhammad bin Tughlaq,0
George Harrison,"Paul McCartney
Answer the question",0
29-Nov-17,usually in late november or early,0
Eric Carmen,Patrick Swayze and Jennifer,0
Mechanised weapons,flamethrower.,0
captain,"Captain.
The Navy does not",1
The Hindu - Arabic numeral system developed by ancient Indian mathematicians around 500 CE,"From the Phoenicians,",0
Casey Allen Moss,"Casey Moss. 
Casey",0
Brolly,"Broly. 
The Legendary",0
15-Jan-66,"January 15, 196",0
"August, 1899",December 1899. I,0
Articles of Confederation,The Articles of Confederation.,1
"Around, 000","3,000.00",0
2003,"2001.
Answer the",0
"To measure the size of the astronomical unit, Which was needed for the nascent field of interplanetary spacecraft, Public relations value, Demonstration to funding agencies",to determine the size and shape,0
France,"France
Answer the question conc",1
365.256 days,"365.25
Answer",0
50.45 - kilometer (31.35 mi),"31 miles.
The Channel",0
Cynthia Harris,"Paul Rudd. 
Answer the",0
Everything but the Girl,Florence + The Machine.,0
Charles Peck ham Day,Itzhak Perlman does,0
Adam West,Adam West. who played bat,1
To achieve the goal of `` Health For All '' by the year 2000 and beyond through better health promotion,The purpose of the Ottawa Charter,0
Article 53,"Article 52
Answer the",0
"Hollerith, West Yorkshire, England","Holmfirth.
Answer the",0
Lethal,Lothal. Share your answer,0
Mardi Gras is French for `` Fat Tuesday '',The words Mardi and Gr,0
"Cuttack, Odisha","Imphal, Manipur",0
When the original trial failed to make a determination in a manner dictated by law,When there is no prior precedent,0
twelve,"12
In the book",0
"Chris Sarandon, Danny Elf man",Chris Sarandon and Danny Elf,0
Lead singer Steven Tyler,"Steven Tyler. 
Who wrote",0
1990,"1993. 
When",0
The British new wave music duo Eurythmics,Eurythmics.,0
Stephen Bishop,"Taylor Swift. 
What does",0
Backstreet Boys,One Direction. One Direction is,0
The last episode,"Season 7, Episode",0
22-May-15,"2018. 
The",0
"John Lennon, Paul McCartney",John Lennon and Paul McCartney.,0
Between 1609 and 1616,1609-1616,0
Andy Whitfield,"Liam McIntyre.
Liam",0
William Shakespeare,Politicians. who consider public,0
Antiviral Angola Ayanna,Bangalore City Railway Station. is,0
Harvey,"Hurricane Harvey.
The post Answer",1
Alex,Alex Russo. (The wizard,1
1994,"1963.
Home economics",0
Janus,"Janus.
Answer the question",1
Claire For,"Claire Foy. 
The",0
54 mph,137 mph. What is,0
1993,"1967.
Answer the",0
boilermaker,A Shot in the Dark.,0
Parnell Roberts,"Pernell Roberts.
Answer",0
Each individual / employee / retiree,The participant bears investment risk in,0
Ecclesiastical title used in the Latter Day Saint movement,"A prophet, seer,",0
"Bobby Dodd Stadium at Historic Grant Field in Atlanta, Georgia","Bobby Dodd Stadium.

Answer the",0
Massachusetts,"Massachusetts.
Answer the question conc",1
endothermic,It decomposes explosively.,0
"October, 2017","2023.
The Gift",0
Virender Singh Diana,RKS Bhadauria.,0
2005,"2013.
The last",0
Nicholas Newman,"Nick. 

This answer is",0
1978,"1978. 
When",1
The presidentially appointed Board of Governors or Federal Reserve Board (FRB),The Federal Reserve is an independent,0
Lateral spinothalamic tract,In the thalamus.,0
Estimated to be $ million USD,"$1,000.00 ",0
M describes distant metastasis,"metastasis.
Answer the question",0
Kristen Joy School,"Bret McKenzie. 
Answer the",0
Émile Bore,Emile Borel.,0
The back of the hypopharynx,The eustachian tube,0
Dr. George O'Malley,Lexie Grey dies in season,0
. By. Inches (220 by 140 mm),4 1/4,0
A Roman centurion who is considered by Christians to be one of the first Gentiles to convert to the faith,Cornelius was a Gentile,0
Cory Wells,2NE1.,0
"Establishes the legislative branch of the federal government, The United States Congress",To establish the legislative branch and,0
Ahmet Begun,Ahmet Ertegun.,0
1926,"1926. 
Fantastic",1
"A leader's behavior is contingent to the satisfaction, Motivation and performance of his or her subordinates",The main principle of path-goal,0
2028,"2028. 
Note",1
"Rome, Berlin","Rome and Berlin.
The Axis",0
Cressida,She does not play in the,0
The Miami Heat,The Miami Heat. (Note,1
Rajyavardhan Singh Rathole,Anurag Thakur,0
"A post-disaster, Dystopic future city, Appearing to be somewhere in the United States, Called the URB",A remote island in the Pacific,0
"Garrett Ryan, Blake Hood",Michael Muhney. Michael,0
"Spain, Netherlands","Spain and Netherlands. 
Answer",0
"Over US $35 per barrel (equivalent to $104 per barrel in 2008 dollars, When adjusted for inflation)",$35.67. What,0
Jennifer Hidden,"John Adams. 
Answer the",0
1959,"1959.
Answer the",1
"12,222","11, 953.",0
The Bureau of Engraving and Printing,"Lobbyists, contractors, lawyers",0
In the fictional Yorkshire country estate of Downton Abbey,"Yorkshire, England. Is the",0
Colleen Rose Hurst,Colleen Dewhurst. was,0
Small intestine,"small intestine.
Answer the question",1
Measuring electrical potential difference between two points,"Measures voltage.

## Step",0
Lieutenant Colonel John C. Fremont,John C. Frémont,0
Iceland,"The Netherlands. 

No introduction",0
"Oliver Wendell Holmes, Jr.",Oliver Wendell Holmes Jr.,0
Michael Herbert `` Mike '' Scour,"Craig Robinson. 
Who plays",0
"Former Governor William McKinley, The Republican candidate, Democrat William Jennings Bryan",William McKinley (Republican),0
It was one of the few towns or villages in the province not to be serviced by a sealed highway,"The name ""Merweville",0
", 089 sq ft",1.08 square feet,0
Christopher John `` Topper '' Grace,"Topher Grace.
The main",0
New Zealand,The film is shot in various,0
Begins at 01 : 00 GMT on the last Sunday of March and ends at 01 : 00 GMT (02 : 00 BST) on the last Sunday of October.,British Summer Time (BST),0
"Alamodome in San Antonio, Texas",The Caesars Superd,0
Katie Lynn Leclerc,Maureen McCormick.,0
Cindy Walker,"Alex & Sierra. 
Who",0
"The song refers to three men, Warren Beatty","David Cassidy. 
who was",0
"Mercedes - Benz Stadium in Atlanta, Georgia",I do not know the answer,0
Johannes Kepler,Aristarchus of Samos,0
Daniel Hall,Sean Dominic. who plays l,0
"In north - central Unison County on the west side of the valley of the Slate River, Along Coal Creek",Crested Butte is located,0
"The forms of slavery, brigandage, Wars internal and external, Land reform, The invention of excruciating new punishments, The expansion of Roman citizenship, Even the changing composition of the Roman army","A combination of internal corruption,",0
Western Australian Academy of Performing Arts of Edith Conan University,The Royal Academy of Dramatic,0
School 2013,Scholar Who Walks the Night,0
"Rick Novels, Ellen Shirley",Peabo Bryson and Regina,0
M,Minority Report. Question the answer,1
"The traditional boundary between North India and South India and flows westwards over a length of, 312 km (815. me) before draining through the Gulf of Chambray into the Arabian Sea, 30 km (18. me) west of Baruch city of Gujarat",It is located in central India,0
The ancient right of shipwrights within the Royal Navy Dockyards to take home a daily allowance of off cuts of timber,"The phrase ""chip on your",0
"In the Great Plains near the geographical center of the 48 contiguous states, Bounded on the east by Arkansas and Missouri, On the north by Kansas, On the northwest by Colorado, On the far west by New Mexico, And on the south and near - west by Texas",The state of Oklahoma is located,0
Leila Seth,"Leila Seth.
Who was",1
A blood filter,Filtering the blood and storing red,0
"December, 2017","December 6, 201",0
Bonnie Morgan,Malina Weissman.,0
"Alaskan king crab, Opilio crab, Bairdi crab","Dungeness.
Answer the",0
Laser v. Garrett,"23 cases.
Supreme",0
William Everett `` Bud '' Lucky,"Eric Jacobson. 
Who",0
1978,1984. when did,0
Parallelogram,"Parallelogram
Answer",1
The effectiveness of wastewater treatment plants,"water quality.
Answer the question",0
Bruce Springsteen,"Bruce Springsteen. 
Who",1
six,"9. 
The United",0
(Selena Gomez),"Selena Gomez. 
What",0
Demand cash - payment redemption of their service certificates,demand better treatment and higher wages,0
"Tom Kelly, Billy Steinberg",Billy Steinberg and Tom Kelly,0
The first book of Samuel,In 1 Samuel 16,0
. a billion people as of May 2018,"7,927,300",0
The commandment of Christ that we should imitate His loving humility in the washing of the feet,"It symbolizes humility, service",0
President pro tempore,The President pro tempore of,1
Metaphase,"Metaphase.
Answer the",1
"shooting, Lethal injection","Lethal injection.
Answer",0
"`` President's Palace '', `` Presidential Mansion '', Or `` President's House ''","Executive Mansion. 
Answer the",0
`` Being Alive '' from Company,"""You Suffer"". what",0
Communication protocol,"Protocols.
Answer the question",0
"MER - A Spirit, MER - B Opportunity",Curiosity and Persever,0
Knight banner,"Banneret. 

Answer the",0
LA,"Nicole Walker.
Answer the question",0
Ashford & Simpson,"Eric Carmen. 
Who sang",0
"Jill Jackson - Miller, SY Miller",Sylvia Dee and Jill Jackson.,0
"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil.",1
A theme park,A theme park resort at the,1
Emily Warren,SZA sings the girl part,0
Kylie Minogue,"Kylie Minogue. 
Who",1
"North Bay Memorial Gardens in North Bay, Ontario, Canada","In Prince George, Canada.",0
1981,1981-1982,1
Louise,"Lou-ee.
The question",0
Lionel Messi,"Lionel Messi. 
Note:",1
T.I.,"Bruno Mars. 
Answer the",0
2007,"2007. 
The",1
The uptake of carbon dioxide (CO) from the atmosphere,The absorption of excess carbon dioxide,0
1986,"1987. 
The",0
1899 Cleveland Spiders,The 1899 Cleveland Sp,0
Cousin Khan,"Mohsin Khan. 
Answer",0
John Augustus,"Samuel Ashe.
Answer the question",0
Pacey Witter,Pacey. Note: P,0
"Miami Gardens, Florida",Hard Rock Stadium in Miami Gardens,0
Hesiod,There is no specific author of,0
American country pop singer Brett Young,JoJo. who sang in,0
1956,"1882.
When did",0
viruses,The exception is that not all,0
The Erwin Brothers,The Dardennes brothers and,0
Presidential system,"Federal Constitutional Republic
What type",0
Over US $22 billion,$4.4 billion.,0
In the middle of Forename Bay,"Orkney Islands.
The",0
"District of Columbia v. Heller, 554 U.S. 570 (2008)",District of Columbia v. Heller,1
"phospholipids, proteins, Viral glycoproteins",Lipids and proteins.,0
Charlestown,"Boston. 
What was the",0
"Lot's wife, `` Ado '' or `` Edith ''",Lot's wife. Read the,0
Robert Pine,Gary Marshall and Jason Biggs,0
1948,"In the song, it is",0
"A surname derived from the Anglo-Saxon corruption of the kin of Pierre (from Pierre kin to Pierre kin to Perkins), Introduced into England by the Norman Conquest","England. 
Answer the question",0
27-Oct-04,1904. Answer the,0
Erin Kraków,"Erin Krakow. 
When",0
Glenn Matthews,"Perry Cox. 
Answer the",0
"Tonsillitis, Tonsil stones","Bad breath.
What are the",0
1984,1992. When did,0
John Morris,"Tom Hanks. 
Answer",0
Britain,Britain. Explanation: The Industrial,1
In New Delhi,New Delhi. Question: what,0
France,Spain. who did the louis,0
Qatari Diary,The Saudi Royal Family. (,0
Kline Greek,"Greek.
Answer the question conc",0
Rajendra Prasad,"January 26, 195",0
Glen COE and Glenfinnan,"The United Kingdom, particularly at",0
Nancy Jean Cartwright,Dan Castellaneta.,0
A pre-teen girl named Jenny McAfee as she enters and goes through middle school,How I Survived Middle School,0
22-Jun-18,"November 22, 201",0
1990s,"2002. 
When",0
Congress volunteers in Nagpur,Bhagat Singh and his,0
2014,2014. when did,1
The School Boy '' is a 1789 poem by William Blake,I love to rise in a,0
1965,"1965. 

The",1
18th century pastor and hymns Robert Robinson,"Robert Robinson.
Who wrote the",0
Mary Hopkins,"Mary Hopkin.
The song",0
"Jim Collins, David Lee Murphy","Justin Bieber. 
Who wrote",0
1993,"1999. 
The",0
The 1916 New York Giants,Cy Young. Cy Young holds,0
"Jeffrey Link,","The Glazer Family.
Answer",0
`` White Christmas '',"Silent Night. 
What is",0
In the Gulf Stream off the coast of Cuba,"Cuba, specifically the Gulf Stream",0
"Puerto Rico in the Carib Hilton hotel, Puerto Rico, New York City","Universal Studios Hollywood, California.",0
1986,1986. when was,1
Coy Stewart,"Ice Cube
Answer the question",0
2001,"2001.
Young J",1
On the West Side of Midtown Manhattan in New York City,"Manhattan. 
If you have",0
Renamed Cullen,"Renesmee.
Answer",0
A Study in Scarlet,A Study in Scarlet.,1
Mr. Mister,"Melanie C. 
Who sang",0
Snoop Doggy Dog,"Jay-Z.
Who says with",0
750 milliliters (26.40 imp fl oz ; 25.36 US fl oz),750ml. Answer the,0
China,The concept of a helicopter dates,0
BBA Babatundé,David Alan Grier.,0
General Augusto Pinochet,Augusto Pinochet.,0
"Began in 1989, Published in July 1996","1967. 
Answer",0
Less than feet 10 inches (58 in ; 147 cm),4 feet. What is,0
"A first - person narrative relating the economic and social distress experienced by the protagonist, A poor white Southerner, During the last year of the American Civil War","1967.
Answer the",0
Vijaya Samovar Bavaria,A. O. Hume,0
c. 700 BC,"1804.
The first",0
"Adam and Eve's rebellion in Eden, The sin of disobedience",Adam and Eve eating the forbidden,0
"Seventh enlisted rank (E-) in the U.S. Army, Ranking above staff sergeant (E-) and below master sergeant and first sergeant (E-), And is the first non-commissioned officer rank designated as a senior non-commissioned officer (NCO)","E-7.

## Step",0
Article Six,"Article VI, Section 2",0
"Clint Ballard, Jr.","Linda Ronstadt. 

The",0
Verona Beach,Verona Beach. Source:,1
University of Southern California,"USC.
Answer the question conc",0
Taylor Swift,"Taylor Swift.
Taylor Swift is",1
The base,At the base of the food,1
Matthew Lynn Lillard,"Matthew Lillard. 
Answer",0
Meghan ORY,"Meghan Ory. 
Who",1
Alabama Crimson Tide,Clemson. The Tigers defeated Alabama,0
"Chicago, Cape Cod, Outer Banks of North Carolina","In the ocean. 
Answer",0
Kodak,Gemma. Tig is Gem,0
