,questions,short_answers,responses
1132,Answer the question concisely with only the answer: what is the name of rio de janeiro's famous landmark? Answer:,Christ the Redeemer,"Christ the Redeemer.
Answer"
1133,Answer the question concisely with only the answer: where are protons pumped in electron transport chain? Answer:,Across the mitochondrial inner membrane,Mitochondrial inner membrane.
1134,Answer the question concisely with only the answer: what musical is the song there's a place for us? Answer:,West Side Story,"West Side Story.
What musical"
1135,Answer the question concisely with only the answer: where did the catch 22 phrase come from? Answer:,Joseph Heller coined the term in his 1961 novel Catch - 22,"The phrase ""catch-22"
1136,Answer the question concisely with only the answer: where does the word america come from and what does it mean? Answer:,"Coined by Martin Waldseemüller from Americas Vesuvius, The Latinized version of the name of Amerigo Vespucci (1454 -- 1512), The Italian explorer who mapped South America's east coast and the Caribbean Sea in the early 16th century","The word ""America"" comes"
1137,Answer the question concisely with only the answer: the primary function of the human male reproductive system is to? Answer:,Produce and deposit sperm,"To produce, store, and"
1138,Answer the question concisely with only the answer: who is rated the best president of the united states? Answer:,George Washington,"George Washington.
Answer the question"
1139,Answer the question concisely with only the answer: the limbic system is an important part of the brain because it regulates? Answer:,"The endocrine system, The autonomic nervous system","emotions, motivation, and memory"
1140,Answer the question concisely with only the answer: when did house of cards film season 5? Answer:,"Begun by July 20, 2016, Finished by February 14, 2017",Filming for Season 5
1141,Answer the question concisely with only the answer: a key characteristic feature of acute respiratory distress syndrome (ards) is? Answer:,Widespread inflammation in the lungs,diffuse alveolar damage
1142,Answer the question concisely with only the answer: why did the us fight the battle of iwo jima? Answer:,Strategic value of the island,to capture the strategic island of
1143,Answer the question concisely with only the answer: who played hilary on the fresh prince of bel-air? Answer:,Karyn Parsons,Karyn Parsons.
1144,Answer the question concisely with only the answer: what do you mean by clipping in computer graphics? Answer:,A method to selectively enable or disable rendering operations within a defined region of interest,Clipping in computer graphics is
1145,Answer the question concisely with only the answer: when is there a penalty shot in hockey? Answer:,When a team loses a clear scoring opportunity on a breakaway because of a foul committed by an opposing player,when a defending player intentionally interfer
1146,Answer the question concisely with only the answer: energy provided directly from earth's interior is called? Answer:,Geothermal heat flux,"geothermal. 
Answer the"
1147,Answer the question concisely with only the answer: what is the name of the bone that makes up most of the posterior surface of orbit? Answer:,The sphenoid bone,"Zygoma.
What is"
1148,Answer the question concisely with only the answer: why are volcanoes often found near the edges of converging plate boundaries? Answer:,"Result of pressure, friction, And plate material melting in the mantle",Volcanoes are often found
1149,Answer the question concisely with only the answer: what percentage of gross income is withheld as an employee's contribution to social security? Answer:,12. % of wages up to an annual wage maximum,6.2% for
1150,Answer the question concisely with only the answer: who did they kill in htgawm season 1? Answer:,"Sam Keating, Lila Standard",The victim was Lila St
1151,Answer the question concisely with only the answer: who referred to the church as the mystical body of christ? Answer:,Saint Paul,"St. Paul.
The question"
1152,Answer the question concisely with only the answer: when was sunday in the park with george written? Answer:,1984,"1984. 
Answer"
1153,Answer the question concisely with only the answer: what does the sacrament of penance and reconciliation offer to those who participate? Answer:,Absolution for the sins committed against God and neighbor,forgiveness of sins and healing of
1154,Answer the question concisely with only the answer: live from daryl's house where is it? Answer:,"In Miller ton, New York","Los Angeles, California."
1155,Answer the question concisely with only the answer: when is the opening ceremonies for the olympics 2018? Answer:,"On February 2018, Began at 20 : 00 KST and finished at approximately 22 : 20 ST",The 2018 Winter Olympics
1156,Answer the question concisely with only the answer: who was the running back in the longest yard? Answer:,Earl Meg get,Burt Reynolds. who was
1157,Answer the question concisely with only the answer: why is there a c on the minnesota twins hats? Answer:,For Twin Cities,"The ""TC"" on the"
1158,Answer the question concisely with only the answer: who plays will's cop boyfriend on will and grace? Answer:,Robert Carnival,Eric McCormack's real-life
1159,Answer the question concisely with only the answer: when did the nba change the first round of playoffs to 7 games? Answer:,2003,1984. The NBA
1160,Answer the question concisely with only the answer: who stated that there is an exchange of materials when two objects come into contact with each other? Answer:,Dr. Edmond Locard,"Dalton. 
Get a complete"
1161,Answer the question concisely with only the answer: who was the mother on lost in space? Answer:,June Lockhart,"Maureen Robinson. 
The"
1162,Answer the question concisely with only the answer: who is the captain of chennai super king? Answer:,Mahendra Singh Dhoti,Ravindra Jadeja.
1163,Answer the question concisely with only the answer: where will the next world cup be held 2022? Answer:,In Qatar,"Qatar.
Answer the question conc"
1164,Answer the question concisely with only the answer: who wrote never knew love like this before? Answer:,"James Mfume, Reggie Lucas","Jimmy Cliff. 
The song"
1165,Answer the question concisely with only the answer: where does the head of the rib articulate with? Answer:,"The facets on the contiguous margins of the bodies of the thoracic vertebrae, The intervertebral fibrocartilages","The sternum. 
Answer"
1166,Answer the question concisely with only the answer: when did bargain town become toys r us? Answer:,1966,"1999. 
When"
